employee_key,employeeNumber,lastName,firstName,email,reportsTo,jobTitle
1,1002,Murphy,Diane,dmurphy@classicmodelcars.com,NULL,President
2,1056,Patterson,Mary,mpatterso@classicmodelcars.com,1002,"VP Sales"
3,1076,Firrelli,Jeff,jfirrelli@classicmodelcars.com,1002,"VP Marketing"
4,1088,Patterson,William,wpatterson@classicmodelcars.com,1056,"Sales Manager (APAC)"
5,1102,Bondur,Gerard,gbondur@classicmodelcars.com,1056,"Sale Manager (EMEA)"
6,1143,Bow,Anthony,abow@classicmodelcars.com,1056,"Sales Manager (NA)"
7,1165,Jennings,Leslie,ljennings@classicmodelcars.com,1143,"Sales Rep"
8,1166,Thompson,Leslie,lthompson@classicmodelcars.com,1143,"Sales Rep"
9,1188,Firrelli,Julie,jfirrelli@classicmodelcars.com,1143,"Sales Rep"
10,1216,Patterson,Steve,spatterson@classicmodelcars.com,1143,"Sales Rep"
11,1286,Tseng,"Foon Yue",ftseng@classicmodelcars.com,1143,"Sales Rep"
12,1323,Vanauf,George,gvanauf@classicmodelcars.com,1143,"Sales Rep"
13,1337,Bondur,Loui,lbondur@classicmodelcars.com,1102,"Sales Rep"
14,1370,Hernandez,Gerard,ghernande@classicmodelcars.com,1102,"Sales Rep"
15,1401,Castillo,Pamela,pcastillo@classicmodelcars.com,1102,"Sales Rep"
16,1501,Bott,Larry,lbott@classicmodelcars.com,1102,"Sales Rep"
17,1504,Jones,Barry,bjones@classicmodelcars.com,1102,"Sales Rep"
18,1611,Fixter,Andy,afixter@classicmodelcars.com,1088,"Sales Rep"
19,1612,Marsh,Peter,pmarsh@classicmodelcars.com,1088,"Sales Rep"
20,1619,King,Tom,tking@classicmodelcars.com,1088,"Sales Rep"
21,1621,Nishi,Mami,mnishi@classicmodelcars.com,1056,"Sales Rep"
22,1625,Kato,Yoshimi,ykato@classicmodelcars.com,1621,"Sales Rep"
23,1702,Gerard,Martin,mgerard@classicmodelcars.com,1102,"Sales Rep"
